"","logFC","logCPM","LR","PValue","FDR"
"PSME_21469",16.3167248917474,0.271756166982413,25.0129264317328,5.69472436949721e-07,0.0120487861631075
"PSME_27306",-7.58832597190868,6.41576566548904,23.9676983147467,9.79655757631311e-07,0.0120487861631075
"PSME_31667",13.2942992072746,2.72906769976429,22.8552588747757,1.74670754215791e-06,0.0139414451719792
"PSME_38503",7.52369600784627,3.5355962731148,22.2065539012666,2.44836611724801e-06,0.0139414451719792
"PSME_30375",14.707968398512,2.99248898384305,21.9258837303127,2.8338574623911e-06,0.0139414451719792
"PSME_29048",16.5290018315542,-0.0419869182966456,21.180669889154,4.17958765676711e-06,0.0167979520826777
"PSME_51370",15.0732625328032,2.9361424370685,20.9233603857128,4.7802937059413e-06,0.0167979520826777
"PSME_27294",-4.42253643990097,5.66139198390798,19.4862659986184,1.01325599982195e-05,0.0311550888545254
"PSME_23020",13.260861643155,1.93624455746759,18.9525991027079,1.34006599679778e-05,0.0331745447122457
"PSME_37466",10.8953822259672,-0.742579394807482,18.8948084611159,1.38128061474554e-05,0.0331745447122457
"PSME_13638",14.6110165505259,-0.0730148250097581,18.7102047945611,1.52165954791851e-05,0.0331745447122457
"PSME_42174",11.6728469934881,-0.124978362940384,18.527523866269,1.67468375829276e-05,0.0331745447122457
"PSME_19388",-15.2790036591145,3.68515679354773,18.4089414301199,1.78219727343885e-05,0.0331745447122457
"PSME_51302",-4.04069014455773,6.84583066078623,18.2989261479567,1.88813572636572e-05,0.0331745447122457
"PSME_06003",10.3058752529233,-1.48223458675082,18.1343045992073,2.0585917275147e-05,0.0337581595422711
"PSME_12596",-2.83409181549968,8.01702617204226,17.5028766056962,2.86873309637902e-05,0.0413620490651339
"PSME_16206",13.7646494078423,1.8352310701874,17.2186090921437,3.33156893479254e-05,0.0413620490651339
"PSME_47136",9.18367030708312,-0.747679495736837,17.1537631016652,3.44725791033687e-05,0.0413620490651339
"PSME_12910",16.4706310295372,0.578061310881491,17.1399184497741,3.47247598117125e-05,0.0413620490651339
"PSME_04115",8.98358103540249,0.862244867552729,17.1232464008382,3.50309038893634e-05,0.0413620490651339
"PSME_04789",-16.398869509822,2.18025837543591,17.1080702619619,3.53119371643146e-05,0.0413620490651339
"PSME_31428",11.260992219082,-0.105285147542436,16.9158564583932,3.90738178738493e-05,0.0432156878992827
"PSME_11752",4.65327247493749,6.4559427015104,16.8521186475843,4.04081966697903e-05,0.0432156878992827
"PSME_08506",12.4218339221118,-0.775261782586951,16.5371672613337,4.77057384186712e-05,0.0488944064009364
"PSME_39647",4.19165288202382,4.47401567088318,16.3557700024166,5.24960941827537e-05,0.0498127542210747
"PSME_48863",-5.56955304174932,3.55107288558533,16.2737326996991,5.4818630361358e-05,0.0498127542210747
"PSME_40178",11.1874376128422,-0.13919392320781,16.2644503983187,5.50878434550996e-05,0.0498127542210747
"PSME_38415",4.26788744995053,7.24779754596069,16.1788433478805,5.76342273837468e-05,0.0498127542210747
"PSME_40947",7.96248928521692,2.3157761986559,16.1432616614346,5.87271271002181e-05,0.0498127542210747
