DFD_001	DFD_005	DFD_009	DFD_016	DFD_019	DFD_023	DFD_026	DFD_027	DFD_030	DFD_043	DFD_045	DFD_049	DFD_050	DFD_052	DFD_057	DFD_062	DFD_080	DFD_082	DFD_085	DFD_087	Unassigned
PSME_00001	582	285	1900	206	318	24	0	1	0	612	102	351	151	313	27	45	124	0	55	519	225
PSME_00002	9	19	70	8	23	7	0	5	1	36	22	95	0	1	4	25	1	0	1	4	12
PSME_00003	5	3	17	3	0	8	0	1	0	2	8	18	0	45	12	5	0	27	7	4	15
PSME_00004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00005	10	34	87	49	98	22	0	0	0	144	0	794	0	99	62	0	33	0	10	40	41
PSME_00006	379	205	603	82	239	131	0	6	1	1228	99	473	110	96	109	87	39	0	23	113	148
PSME_00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00009	2	4	22	2	0	2	0	1	0	32	0	25	124	8	7	0	10	0	2	14	7
PSME_00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00011	4	4	18	5	3	2	0	1	0	11	0	16	18	0	1	0	0	0	2	8	1
PSME_00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00017	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
PSME_00018	21239	10929	37170	1790	14755	4755	1008	1714	20267	31971	5865	8179	1088	5218	2665	2896	717	332	1238	4216	6540
PSME_00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00020	149	179	27	0	0	89	0	0	0	0	0	162	0	87	18	6	14	0	8	99	23
PSME_00021	136	20	153	8	79	44	0	2	0	56	0	102	0	0	0	9	9	0	1	12	16
PSME_00022	1269	426	997	102	388	135	28	56	288	2050	506	1827	282	185	294	187	146	0	19	187	345
PSME_00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00024	7041	2567	5688	980	1998	1496	487	665	1349	10601	1728	13288	1314	2610	1699	1159	2042	1771	332	2236	2120
PSME_00025	10	0	70	0	62	14	1	14	140	222	32	45	137	25	20	13	10	0	5	0	33
PSME_00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00027	79	0	40	0	17	0	0	4	0	1	1	29	2329	6444	0	67	0	77	390	31	759
