target_id,sample19_TCS_C,sample26_TC_T,sample27_TCS_T,sample45_TC_C,sample52_TCS_T,sample62_TCS_C,sample87_TCS_T
TRINITY_DN5656_c0_g1_i1,0,0,0.950268,0,0,0,0
TRINITY_DN5656_c0_g2_i1,0,0,20.3725,0,0,141.461,0
TRINITY_DN5656_c0_g2_i2,0,72,10.6772,183,0,869.539,0
TRINITY_DN5625_c0_g1_i1,4,399.205,469.008,1275.73,0,1583.19,0
TRINITY_DN5625_c0_g2_i1,0,1060.8,2735.99,531.272,0,13315.8,0
TRINITY_DN5625_c0_g3_i1,0,0,0,0,0,0,1
TRINITY_DN5625_c0_g4_i1,0,0,7,0,0,426.945,0
TRINITY_DN5625_c0_g4_i2,0,0,0,273,0,183.184,0
TRINITY_DN5625_c0_g4_i3,0,0,0,0,0,29.8712,0
TRINITY_DN5655_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5655_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5655_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5655_c0_g1_i4,0,0,0,0,0,5,0
TRINITY_DN5655_c0_g1_i5,0,0,0,0,0,0,0
TRINITY_DN5655_c0_g1_i6,0,0,0,0,0,0,0
TRINITY_DN5655_c0_g1_i7,0,0,0,0,0,0,0
TRINITY_DN5655_c0_g1_i8,0,0,0,0,0,0,0
TRINITY_DN5655_c0_g1_i9,0,0,0,0,0,0,0
TRINITY_DN5680_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5691_c0_g1_i1,0,0,1,0,0,1.3254,0
TRINITY_DN5691_c0_g2_i1,0,1,5,0,0,8,0
TRINITY_DN5691_c0_g3_i1,0,0,0,0,0,0.663836,0
TRINITY_DN5627_c0_g1_i1,0.727851,0,0,2.59083e-06,0.6942,0,0
TRINITY_DN5627_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5627_c0_g1_i3,0,0,10.2893,0,0,0,0
TRINITY_DN5627_c0_g1_i4,0,48.6965,35.7107,0,0,623.309,0
TRINITY_DN5627_c0_g1_i5,0,0,0,0,0,0,0
TRINITY_DN5627_c0_g1_i6,0,0,0,0,0,15.279,0
TRINITY_DN5627_c0_g1_i7,0.272149,1.30351,0,78,0.3058,19.4121,0
TRINITY_DN5627_c0_g2_i1,0,0,0,3,0,2,0
TRINITY_DN5627_c0_g2_i2,0,0,0,0,0,0,0
TRINITY_DN5636_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5636_c0_g1_i2,0,0,0,0,0,12.6031,0
TRINITY_DN5636_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5636_c0_g1_i4,0,0,5,0,0,0,0
TRINITY_DN5636_c0_g2_i1,0,0,0,0,0,4.39685,0
TRINITY_DN5653_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5653_c0_g2_i1,0,0,0,0,0,1,0
TRINITY_DN5653_c0_g3_i1,0,0,0,0,0,16,0
TRINITY_DN5653_c1_g1_i1,0,0,0,0.00123994,0,7.12869,0
TRINITY_DN5653_c1_g1_i2,0,0,8.19005,0,0,0,0
TRINITY_DN5653_c1_g1_i3,0,0,5.44754,0,0,14.3756,0
TRINITY_DN5653_c1_g1_i4,0,0,12.3624,0,0,57.3293,0
