DFD_001	DFD_005	DFD_009	DFD_016	DFD_019	DFD_023	DFD_026	DFD_027	DFD_030	DFD_043	DFD_045	DFD_049	DFD_050	DFD_052	DFD_057	DFD_062	DFD_080	DFD_082	DFD_085	DFD_087	Unassigned
mRNA_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	93	0	0	0	0	1
mRNA_15	0	0	0	0	0	0	17	12	0	0	0	1	0	0	0	54	0	0	0	0	2
mRNA_23	0	0	0	0	0	0	176	522	0	0	1	0	0	0	0	1429	0	0	0	1	76
mRNA_20	0	0	0	0	0	0	8	6	0	0	12	0	0	0	0	300	0	0	0	0	15
mRNA_25	0	0	0	0	0	0	0	27	0	0	1	0	0	0	0	276	0	0	0	0	13
mRNA_27	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	102	0	0	0	0	3
mRNA_31	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	0	0
mRNA_35	0	0	0	0	0	0	50	32	0	0	10	1	0	0	0	494	0	0	0	1	29
mRNA_36	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
mRNA_44	0	0	0	0	0	0	39	41	0	0	5	0	0	0	0	417	0	0	0	0	20
mRNA_46	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	36	0	0	0	0	1
mRNA_48	0	0	0	0	0	0	65	10	0	0	1	0	0	0	0	88	0	0	0	0	6
mRNA_63	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	206	0	0	0	0	7
mRNA_69	0	0	0	0	0	0	7	36	0	0	2	0	0	0	0	201	0	0	0	0	9
mRNA_80	0	0	0	0	0	0	0	11	0	0	4	0	0	0	0	192	0	0	0	0	6
mRNA_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
mRNA_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
mRNA_100	0	0	0	0	0	2	6	9	0	0	0	0	0	0	0	345	0	0	0	0	11
mRNA_101	0	0	0	0	0	0	160	206	0	0	20	0	0	0	0	2345	0	0	0	0	107
mRNA_102	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	86	0	0	0	0	5
