"","logFC","logCPM","LR","PValue","FDR"
"TRINITY_DN8141_c0_g1_i14",-14.1805976787912,7.81652035327663,11.1500742564702,0.000840283095750242,1
"TRINITY_DN2299_c0_g1_i3",-10.7103649484534,6.40324965739667,8.70432964568146,0.00317455135778584,1
"TRINITY_DN5169_c1_g30_i1",-11.8677930657899,6.68536209158028,8.26216560790236,0.00404798109437174,1
"TRINITY_DN6451_c0_g1_i3",-12.194427076455,6.5106477350973,8.23857082838864,0.00410094108113817,1
"TRINITY_DN8140_c0_g2_i2",-8.87634503147722,8.26613775275554,8.22253263430118,0.00413734188329072,1
"TRINITY_DN6806_c0_g2_i1",-11.6248282666246,6.40812773617903,7.74055306857381,0.00539942610751762,1
"TRINITY_DN6707_c0_g2_i14",-8.40605356742622,6.97286946218055,6.82540815325224,0.00898700160180846,1
"TRINITY_DN6765_c0_g1_i3",-10.6555217221106,4.91056828304789,6.71344453344997,0.00956887162869355,1
"TRINITY_DN8882_c5_g1_i3",-10.3736340900271,4.45385097024352,6.62523432617239,0.0100543914579908,1
"TRINITY_DN6713_c0_g1_i1",-7.53268781793307,7.45679107518156,6.58885421109104,0.0102619197460813,1
"TRINITY_DN3304_c0_g1_i2",-10.3874741835593,4.35540526601209,6.54686623149247,0.0105069057791775,1
"TRINITY_DN4691_c0_g2_i4",-7.54055439760024,8.80620073201114,6.49060274224739,0.0108446201943803,1
"TRINITY_DN8409_c1_g13_i1",7.10250917671936,5.41503744186281,6.26040402033643,0.0123466043647827,1
"TRINITY_DN8100_c0_g1_i10",-7.05914358400134,7.34160846610971,5.73818060723611,0.0165999790222245,1
"TRINITY_DN2397_c0_g2_i1",-7.86605227129975,5.40991298404404,5.68995205879774,0.0170623207072114,1
"TRINITY_DN3427_c0_g1_i2",-10.0609051652054,4.93470003334285,5.65057390793214,0.0174496603653638,1
"TRINITY_DN11008_c0_g1_i1",-6.76255048515829,6.35366494581926,5.6460531929328,0.0174947049126094,1
"TRINITY_DN5411_c0_g2_i1",-6.19927247097757,6.84845229858842,5.62328490846268,0.0177233999440314,1
"TRINITY_DN8564_c2_g7_i5",6.7497806272052,7.4497678374912,5.56948440978959,0.0182761415148112,1
"TRINITY_DN8779_c0_g8_i4",-9.05849516394626,3.093046632995,5.53160761313914,0.01867593817632,1
"TRINITY_DN9005_c0_g2_i5",-7.96342037530609,7.23597939036609,5.47214675687839,0.0193218774965042,1
"TRINITY_DN3765_c0_g4_i1",6.14128278454661,5.65372746132003,5.44699589384294,0.0196020058275677,1
"TRINITY_DN6344_c1_g1_i3",-5.78348001869962,7.33686024908229,5.4200414229135,0.0199068876568536,1
"TRINITY_DN9167_c0_g3_i3",-7.55975262901288,7.13503457239667,5.23549809797248,0.0221304706937971,1
"TRINITY_DN7877_c0_g1_i5",-8.25322738820302,2.52510370637295,5.16217235414128,0.0230840068634441,1
"TRINITY_DN7131_c0_g1_i3",-6.39367088553644,6.99839367999948,5.15313444957201,0.023204450008851,1
"TRINITY_DN9177_c2_g1_i1",6.83369528015921,4.31629190522011,5.14987832409915,0.0232480020736513,1
"TRINITY_DN6738_c0_g1_i1",-6.02087145559523,6.60054823560157,5.0394648213492,0.0247761431751021,1
"TRINITY_DN6413_c0_g1_i7",-4.35100346627654,8.33184939480378,5.02645816387119,0.0249628978249238,1
"TRINITY_DN439_c0_g1_i1",6.25772676234592,7.01288859013875,4.89610993093009,0.0269172653625653,1
"TRINITY_DN7050_c0_g1_i8",-7.80953987035772,4.15665007487693,4.78724354360772,0.0286712745441874,1
