"","logFC","logCPM","LR","PValue","FDR"
"PSME_17411",10.5831006979014,4.2836577780871,53.3213398883371,2.83213169317805e-13,6.96647753887936e-09
"PSME_36071",8.61860789168267,4.77275012207697,51.1236079856209,8.67289332977684e-13,1.06667915062925e-08
"PSME_26658",3.04219984954605,6.14616742416048,47.1677907368529,6.51624972012842e-12,5.3428903538573e-08
"PSME_26517",12.8473295316627,3.73104299982903,44.0817539056424,3.14943040738418e-11,1.75586913306415e-07
"PSME_19302",4.56855661937875,4.83025079320512,43.8368949931985,3.56912987451042e-11,1.75586913306415e-07
"PSME_42670",8.37161095176214,3.92893050672173,43.3900841994208,4.48454893702191e-11,1.83851557921442e-07
"PSME_09305",8.8957003958039,3.50217268658836,39.6998232270187,2.96152311051919e-10,9.12239235500552e-07
"PSME_40969",6.32660839837597,4.9420189665647,39.696298438169,2.96687286934077e-10,9.12239235500552e-07
"PSME_08347",9.98590233102459,2.1580938432016,38.5981251870735,5.20689153466565e-10,1.2910072817087e-06
"PSME_46142",6.95821513194024,3.07996980455163,38.5826189465542,5.24842378123711e-10,1.2910072817087e-06
"PSME_32697",5.48102357468979,5.28325193260148,37.8444114654733,7.66175502070785e-10,1.71330772726702e-06
"PSME_33909",8.1598772525767,2.67885758627585,37.232360403691,1.04859203167681e-09,2.14943889959885e-06
"PSME_22416",13.3808192441581,5.92781969071843,36.9977268176644,1.18267046417397e-09,2.23779446751933e-06
"PSME_19378",7.81537767723333,3.87437136431296,36.6634397757979,1.40387790937511e-09,2.46661348677207e-06
"PSME_14973",6.2417369266524,4.246919599909,36.0894595572426,1.88463506990574e-09,3.09055022996943e-06
"PSME_24499",10.0692255091495,5.08848979060006,34.7708874918836,3.70878138283453e-09,5.70178777843524e-06
"PSME_38368",8.76552069889879,-0.502943698474854,33.1320215362972,8.61088804133216e-09,1.24594484729817e-05
"PSME_36232",6.52775101458625,1.98861800062736,32.7114858147569,1.06903646572035e-08,1.46089772132163e-05
"PSME_21890",9.07783527762715,2.98375525545538,31.5481933478317,1.94551298745781e-08,2.51872255081512e-05
"PSME_50890",4.04392711964201,6.38328792137975,31.4226333786212,2.07547367159362e-08,2.552625068693e-05
"PSME_35019",10.2201310645329,2.04111895766188,31.2310182677995,2.29076425172685e-08,2.68324852685604e-05
"PSME_17045",10.3055024714196,1.80814235165333,29.9464927681207,4.44134509286909e-08,4.96582757247245e-05
"PSME_27540",1.56830739707508,7.66622163851825,29.8240155692364,4.73095203953788e-08,5.0596503595023e-05
"PSME_16605",10.5216128972298,2.54858651096897,29.6849120719371,5.08288994008753e-08,5.20953861442804e-05
"PSME_32653",7.36190683379789,3.27857648249635,29.3743626796213,5.9661724898388e-08,5.87023643620219e-05
"PSME_11745",2.3593833139574,5.56665061708152,28.6910391185346,8.48956554840287e-08,7.54335804969311e-05
"PSME_40048",4.08789079544981,4.86044609379129,28.6564023459078,8.64277725136802e-08,7.54335804969311e-05
"PSME_33295",9.49723936279469,1.60264120739041,28.616365655014,8.82333043894721e-08,7.54335804969311e-05
"PSME_19368",8.95702126345716,1.18238603111604,28.6010706772101,8.89329959513376e-08,7.54335804969311e-05
