"","logFC","logCPM","LR","PValue","FDR"
"PSME_09818",-14.7218551431132,6.39358793292544,44.481189266934,2.56812896890637e-11,6.31708363771589e-07
"PSME_19804",-14.2321354552968,6.00870138073942,38.2655744255556,6.17423219129743e-10,7.59368817207671e-06
"PSME_13867",-14.7010474127305,5.61511895699183,35.4980727685408,2.55303044435699e-09,1.74283003530304e-05
"PSME_27336",-13.99859187662,5.49957138407728,35.0560850448999,3.20344343153505e-09,1.74283003530304e-05
"PSME_32608",-14.0239281839122,5.42519311852102,34.8601244848029,3.54262548846053e-09,1.74283003530304e-05
"PSME_21275",-13.8759240712598,5.49913410932507,34.1310183742706,5.15233827937633e-09,2.11228694993498e-05
"PSME_04076",-14.8414797341557,5.45408987670898,33.3525928115708,7.68752589800397e-09,2.70139660055859e-05
"PSME_32086",-14.1341767852996,4.79459167644031,31.5417903690905,1.95193866852268e-08,5.34967543823434e-05
"PSME_46103",-13.9445507607057,5.05272896999813,31.5364071059176,1.95735746581466e-08,5.34967543823434e-05
"PSME_09672",-13.6889630032606,5.24088445065509,30.7254621593453,2.97238921401842e-08,7.31148298864252e-05
"PSME_49280",-14.2330442574178,5.01161951433319,30.4294072398893,3.46239350446551e-08,7.74254140207661e-05
"PSME_19981",-13.8837219247617,5.04069282623856,29.9500931192372,4.43310599304386e-08,8.64722354455093e-05
"PSME_47739",-13.778400596563,4.98931204397845,29.8911065323383,4.57004252700065e-08,8.64722354455093e-05
"PSME_23611",-18.1253944119802,6.80937222650633,29.5818004730802,5.36059073215215e-08,9.10243445094166e-05
"PSME_32862",-6.23874765187778,5.39249889479315,29.5142475419477,5.55071618684954e-08,9.10243445094166e-05
"PSME_47337",-6.38439018783191,6.08818800960484,29.1948852200954,6.54517578612247e-08,0.0001006238962419
"PSME_03485",-13.8993276449639,5.79668844884066,28.9547999058946,7.40870039956981e-08,0.000107199536722717
"PSME_36751",-13.4886765782428,5.60917006856305,28.771363629084,8.14465102721131e-08,0.000111301181092969
"PSME_34546",-6.09947797062766,5.65010340853517,28.4865132356758,9.43534493361653e-08,0.000119265518728816
"PSME_41111",-14.0864587539168,5.03199335845523,28.4335197480298,9.69717202445861e-08,0.000119265518728816
"PSME_23517",-13.6455216629135,5.43853466707939,28.2429856487308,1.07001682033516e-07,0.000125334636888592
"PSME_09824",-16.2743746016939,6.27827466051201,27.0075160153554,2.02665884707888e-07,0.000226598883274756
"PSME_26825",-14.1341166574819,4.66703238635082,26.8097253539576,2.24504658095648e-07,0.00024010285129725
"PSME_39256",-14.7108243711918,4.80689087844351,26.4946816978802,2.64264648941395e-07,0.000266607534429198
"PSME_51008",-13.5739644858586,5.19101452928831,26.3754546451001,2.81089916769076e-07,0.000266607534429198
"PSME_50156",-13.1747465694466,5.13283279856187,26.3705593744374,2.8180323177328e-07,0.000266607534429198
"PSME_33184",10.4065865127717,8.08484260590762,26.0904047662811,3.25799061211648e-07,0.000296815011395708
"PSME_29618",-13.5468143986981,5.05766523688899,25.9040328667692,3.5881872315486e-07,0.000315222248291544
"PSME_31653",-5.78260559422713,5.51781615504604,25.7677997668676,3.85059316971071e-07,0.000326609968236359
"PSME_27294",-16.7034694737437,5.66141994040381,25.4315284428981,4.58365407878472e-07,0.000375829076766489
"PSME_49965",-5.97641603250975,5.95300804479204,25.1904622105482,5.19384241006496e-07,0.000400866043918022
"PSME_18056",-5.43655616948008,6.22846432124351,25.1826435792184,5.21494162345585e-07,0.000400866043918022
"PSME_21963",-13.0742030682762,5.79038187658983,24.937070460176,5.92324390952365e-07,0.000441515011171099
"PSME_20614",-6.4506478367345,6.01248513844617,24.8214404343426,6.28939974595174e-07,0.00044753905492995
"PSME_35756",-6.10550001725669,5.31220939117238,24.7975173939022,6.3679432972389e-07,0.00044753905492995
"PSME_29052",-4.98239255231514,6.24345384504955,24.5986746750149,7.06002732340036e-07,0.000482395978058339
"PSME_35939",-13.5279136194687,4.99448606580065,24.4499905924528,7.62638844847643e-07,0.000507010548798982
"PSME_06856",-13.7569827363933,5.13615701443176,24.3582652762803,7.99828312371127e-07,0.000517741495465921
"PSME_35277",-14.0551684628821,4.45863259491121,24.1268672090574,9.01931087477317e-07,0.000568864125378642
"PSME_20652",-13.6687257928774,4.55064831229221,23.8616163872852,1.03515319846466e-06,0.000636567459395842
"PSME_27227",-13.8180439557076,5.13577700771802,23.4980805417238,1.25038451444465e-06,0.00075016971430023
"PSME_29307",-13.0559015470818,5.68320097907331,23.3239642188434,1.36883860177164e-06,0.000801683141104259
"PSME_46302",-7.4242658127323,5.49158499624394,22.7300869821686,1.86425973143544e-06,0.00106045428856469
"PSME_41426",-4.94782937910843,5.97102029960449,22.6967323201641,1.89690172765454e-06,0.00106045428856469
"PSME_50446",-13.494623402142,4.90200982994505,22.5300075321124,2.06886444958613e-06,0.00111959832027409
"PSME_49387",-13.0996479902823,4.56030378827535,22.5070587918044,2.09372805645207e-06,0.00111959832027409
"PSME_48063",-14.0616972244863,4.67021343730655,22.4390828503354,2.16914894600423e-06,0.00113524948454919
"PSME_18609",-13.3984049425692,4.90797877009398,22.3951163280859,2.21937634869089e-06,0.00113733790468955
"PSME_50565",-13.2386472926657,4.40490386468811,22.2822923222348,2.35367067555102e-06,0.00118154267912661
"PSME_13130",-4.95538894510606,6.01583411026065,22.1301066018528,2.54782485809213e-06,0.001253427917187
"PSME_13896",-13.2166072340067,5.4537253721359,22.0591374670642,2.64378150438812e-06,0.00127513210676351
"PSME_50827",-13.4513596943492,4.79182209269446,22.0046732159084,2.71987417676519e-06,0.00128081412884548
"PSME_32214",-13.2787032264072,4.85688757912352,21.976772409858,2.75970196068014e-06,0.00128081412884548
"PSME_25717",-6.19376106938627,6.33889217718799,21.8839459559333,2.8964700383245e-06,0.00131939574079085
"PSME_13772",-12.9812415856372,4.84102691315408,21.7287365849843,3.14051475899554e-06,0.00138702495105003
"PSME_31114",-13.1210482804174,6.0327009283034,21.717610222963,3.15878208854623e-06,0.00138702495105003
"PSME_26336",-13.0298648516153,4.73139594104182,21.6843067248744,3.21409961012487e-06,0.00138702495105003
"PSME_22230",-12.957292076594,5.67032281664669,21.564479193477,3.42129916912791e-06,0.00145098477521049
"PSME_11170",-13.4083412714948,5.68977476515064,21.4967234939337,3.54433737042245e-06,0.0014776883158924
"PSME_16323",-5.64267681176651,5.41746381744881,21.4368611091981,3.65673149507125e-06,0.00149913802192937
"PSME_35632",-13.0252708899679,5.3478817861256,21.3353207812033,3.85561720952859e-06,0.00155476183803253
"PSME_08244",-14.5874371213164,4.69665406700388,21.2892460928115,3.9494089300069e-06,0.00156689614290822
"PSME_51025",-12.8040550770763,5.03440548063128,21.1936827721545,4.15130559866908e-06,0.00162085420819146
"PSME_30155",-6.24811152286226,6.62087141345856,21.1080116038387,4.34109385074769e-06,0.00166847228969831
"PSME_48769",-14.3375460318871,4.20123894625104,21.0748813485384,4.41680114511537e-06,0.00167145345488535
"PSME_41455",-13.606523861695,4.88925199403326,20.9790516472221,4.64332810959329e-06,0.00173055431575418
"PSME_47022",-14.0459386775191,4.2648709444834,20.9084291350075,4.81769962261812e-06,0.0017687429151815
"PSME_01744",-4.45306325259382,5.98446295982033,20.7931907959532,5.11645517624921e-06,0.00181097561469255
"PSME_48802",-13.2821088257502,4.74015402804456,20.7829165446962,5.14397751657902e-06,0.00181097561469255
"PSME_27588",-13.821970197654,4.64158803893136,20.7793368192746,5.15360163543696e-06,0.00181097561469255
"PSME_20229",-5.53461376240302,5.55127199429425,20.6219859989274,5.59498815284861e-06,0.0019383875856869
"PSME_47006",-13.1673430518747,4.34714536817859,20.5756212647821,5.73214396095816e-06,0.0019583232937729
"PSME_09771",-13.3917457222519,4.90625915977095,20.427766727348,6.19247770166012e-06,0.00208661050007446
"PSME_32287",-4.97797623409354,5.47234892451376,20.3691674454449,6.38503053605649e-06,0.00212241866386375
"PSME_27285",-16.2458282854588,4.34834854759793,20.2534107918003,6.78324214724544e-06,0.00221068909153542
"PSME_49880",-12.6931261209282,4.79204532648541,20.2401771573132,6.8303264881979e-06,0.00221068909153542
"PSME_33549",-14.080952579283,6.33676594474913,20.1855260611801,7.02827176253265e-06,0.00222995296907692
"PSME_39395",-12.8191387225826,5.01878853509076,20.1738894321416,7.07115747572971e-06,0.00222995296907692
"PSME_13831",-4.97176929603399,5.21268526514344,20.120525891261,7.27121319576454e-06,0.0022319606674556
"PSME_35224",-13.3131052731353,4.17976223964629,20.0936710010364,7.37402936182031e-06,0.0022319606674556
"PSME_44370",-13.3045753146652,4.49474998568239,20.0477407449899,7.55327135733937e-06,0.0022319606674556
"PSME_51382",-13.4704165145319,6.59776695393257,20.0214356738388,7.65788955875604e-06,0.0022319606674556
"PSME_12978",-12.8825644568034,4.50426380065965,20.0172727739085,7.67457868333288e-06,0.0022319606674556
"PSME_37386",-12.8370063805819,4.73196414952747,20.0172188306106,7.67479518223682e-06,0.0022319606674556
"PSME_11335",-13.9635821586857,5.7340106637805,20.007801265693,7.71268626448192e-06,0.0022319606674556
"PSME_45605",-13.2927692409507,4.23754977820106,19.9358773024856,8.00833142144826e-06,0.00229056902679982
"PSME_40979",-13.0782820859316,4.35726219053882,19.8698431696924,8.28977508061137e-06,0.00233430037035606
"PSME_15260",-13.034631652908,4.4885268677309,19.8557715067341,8.35102173312194e-06,0.00233430037035606
"PSME_27447",-13.1542667725701,4.3210513150041,19.7111800331543,9.00728656745732e-06,0.00247027915004703
"PSME_19704",-3.92137183610218,6.44388967702585,19.6956198334036,9.08092710151857e-06,0.00247027915004703
"PSME_24598",-14.5994363661068,5.13414835900461,19.6834867695408,9.13876748736808e-06,0.00247027915004703
"PSME_18225",-13.4629362734257,6.7671007838519,19.644794819865,9.32570083660674e-06,0.00249340857803101
"PSME_26822",-12.9535727403544,4.18627479845631,19.6218304142719,9.43845990144199e-06,0.00249642189952334
"PSME_50306",-13.3026598246288,4.49591537743421,19.5976806116395,9.55851654145967e-06,0.00250128074347686
"PSME_51313",-12.6454487258126,4.79001216296803,19.4568384703412,1.02898764240089e-05,0.00266431979239759
"PSME_51262",-12.7187913932565,5.21601031126528,19.2428813091507,1.15098752905955e-05,0.0029426491218592
"PSME_09984",-13.0466608765504,4.48334488804088,19.2220150962929,1.16363680130907e-05,0.0029426491218592
"PSME_26637",-12.6156031120822,4.8951280029875,19.2077410473022,1.17237016807139e-05,0.0029426491218592
"PSME_49337",-13.0728991924895,4.40240326815358,19.1861598147384,1.18569947940057e-05,0.00294395901195685
