"","logFC","logCPM","LR","PValue","FDR"
"TRINITY_DN8141_c0_g1_i14",-14.1805976787912,7.81652035327663,11.1500742564702,0.000840283095750242,1
"TRINITY_DN2299_c0_g1_i3",-10.7103649484534,6.40324965739667,8.70432964568146,0.00317455135778584,1
"TRINITY_DN5169_c1_g30_i1",-11.8677930657899,6.68536209158028,8.26216560790236,0.00404798109437174,1
"TRINITY_DN6451_c0_g1_i3",-12.194427076455,6.5106477350973,8.23857082838864,0.00410094108113817,1
"TRINITY_DN8140_c0_g2_i2",-8.87634503147722,8.26613775275554,8.22253263430118,0.00413734188329072,1
"TRINITY_DN6806_c0_g2_i1",-11.6248282666246,6.40812773617903,7.74055306857381,0.00539942610751762,1
"TRINITY_DN6707_c0_g2_i14",-8.40605356742622,6.97286946218055,6.82540815325224,0.00898700160180846,1
"TRINITY_DN6765_c0_g1_i3",-10.6555217221106,4.91056828304789,6.71344453344997,0.00956887162869355,1
"TRINITY_DN8882_c5_g1_i3",-10.3736340900271,4.45385097024352,6.62523432617239,0.0100543914579908,1
"TRINITY_DN6713_c0_g1_i1",-7.53268781793307,7.45679107518156,6.58885421109104,0.0102619197460813,1
