"","logFC","logCPM","LR","PValue","FDR"
"TRINITY_DN9134_c3_g1_i11",-17.3269952820362,2.77276808259823,7.89449818893015,0.0049585392914904,0.633042044329821
"TRINITY_DN8151_c4_g4_i11",-17.4879870672622,2.96403652522018,7.08398230083887,0.0077775976155862,0.633042044329821
"TRINITY_DN6623_c0_g1_i3",-16.9667605913958,2.95101842217159,7.00606883488504,0.00812338596523195,0.633042044329821
"TRINITY_DN10720_c0_g1_i1",18.808565676458,7.10231551017049,6.4944402052449,0.010821236424076,0.633042044329821
"TRINITY_DN6933_c0_g2_i1",16.2645791557507,8.56688351438172,6.4881831623522,0.0108593906624495,0.633042044329821
"TRINITY_DN8587_c1_g2_i13",20.9173800962871,6.86160631627054,6.13405182730141,0.0132602637942203,0.633042044329821
"TRINITY_DN6928_c1_g2_i3",15.2147732171272,9.13473219054355,6.03508720070887,0.0140242580711504,0.633042044329821
"TRINITY_DN1576_c0_g1_i1",-18.012738948669,3.27332636679117,5.9903287499721,0.0143845213002958,0.633042044329821
"TRINITY_DN2286_c0_g5_i1",-15.1115866619219,11.2007845767919,5.88291039457324,0.0152885300247724,0.633042044329821
"TRINITY_DN7944_c0_g2_i3",-15.339817658164,6.91200744098871,5.61638344080512,0.0177933291503992,0.633042044329821
