"","DFD_001","DFD_005","DFD_009","DFD_016","DFD_019","DFD_023","DFD_026","DFD_027","DFD_030","DFD_043","DFD_045","DFD_049","DFD_050","DFD_052","DFD_057","DFD_062","DFD_080","DFD_082","DFD_085","DFD_087"
"PSME_33053",5.66844604705039,5.84135364397337,6.21830258884536,5.66878617889081,5.62324065844367,9.94444357170135,9.02716222981587,9.009899871636,6.78452140074424,5.10789677024531,6.25981538172384,4.96096479918986,9.77739718544612,6.02695900892841,5.49909796807071,6.76238305866962,6.19311556129138,9.49339433188115,9.42964157275448,9.57183098177246
"PSME_50895",4.69479295629264,5.05993605064004,6.24562886542744,4.75928779083529,5.31662521008882,7.544172359882,8.04095604058214,7.98405939515483,5.6080172800518,4.93370715428079,3.88741605384494,4.47809827209543,7.6564865405062,4.64598159394046,4.6746629801167,5.44414513876896,4.46700728764876,7.52362853922062,8.0116958488704,8.42611199771701
"PSME_45173",2.18736389037487,3.11565678206864,3.49631289431667,2.36996232686429,2.75633371766217,7.07814649689037,5.48167246030492,6.47129851293983,3.14041451988429,2.15209842925864,2.35507137071438,2.40493172331081,6.43677446384072,3.49898691906463,2.1131983825589,4.05371529563466,3.01727738508585,6.32569618020548,6.84363782746921,6.29789225599775
"PSME_17095",4.36255617002733,3.92095501748342,6.61896142798756,2.63051283137613,5.3726219188882,8.87717941307137,5.90824119706118,6.2448875704056,5.5296787976071,3.48429014427957,1.4722960560073,4.00800743959719,8.69145839101889,4.35009081474292,2.74243359152511,5.57933865159854,3.96686610978628,8.74303934042588,8.42173676538267,8.36020889956612
"PSME_03729",4.52879778466444,5.15144084824633,5.92595772951966,4.28494779994222,5.22833121630984,7.86945123425324,6.97170267053672,7.27041828296132,4.82945713399724,4.98663681320509,3.79834943427886,4.16785382707942,7.35618516891936,4.81883674430932,4.65294826448742,5.20178764402514,4.73854545607887,7.20742884305327,7.49651794186156,7.48409282954898
"PSME_20257",4.54254413199886,4.36080526900228,6.41691093518706,4.53888174063212,5.70039130287107,7.38130464984891,7.16355838314539,7.24145764251262,5.51200640194713,5.18154494801895,5.01475555159606,4.83535196084761,7.35967302022631,4.76139671076556,4.79057143713646,5.16085055658198,4.8376876211597,7.4968026800258,7.41745318458259,7.17811525709844
"PSME_44501",6.91993846087147,6.95810255736335,8.32438723547823,6.5055888885175,8.42020645863468,10.1831792526426,9.825019922772,9.99471910776933,8.39154303151397,6.76215388164268,6.06629226805507,5.6365149750498,9.29974287465492,7.19700196212595,7.23535884358942,7.20021820343095,6.39427693597564,9.69647737921635,9.59930542108907,9.7441724766936
"PSME_14787",6.55655992100477,7.84805051700025,7.08266218618163,5.57642227913579,7.05945922199079,10.974300539902,9.88602250532561,9.9981859035172,8.3137769554376,6.52838121105436,5.87108397370906,6.229231375582,11.2150530738592,6.48416774745439,7.28843411107395,6.84023745181462,7.10808294508975,10.9741806747842,9.64436838692919,10.4101277374627
"PSME_08170",6.45845720014453,6.53298455615098,7.04697951254338,6.66439582097171,6.74384571769902,8.78760987652287,8.1227981886874,8.38981222540699,7.27438587333308,6.47122207570568,6.34202313404419,5.63016579348656,8.76313656983045,6.97765958463306,6.39345631563666,6.84123435714042,6.84970855670129,9.53487767768544,9.09940289014872,8.88951430016408
"PSME_20650",3.3662931319445,4.87080069814403,4.74971867767088,4.32845710952144,3.77853081039377,7.75617597558603,5.703818769696,4.58411993365326,1.57658927577399,3.71578033093444,2.08072525044403,3.26430064115738,7.24440902409615,4.67737715867481,2.70915165007092,4.29982339544606,5.25978438428333,8.46417684235931,7.26090622672152,7.26558513227753
