target_id	length	eff_length	est_counts	tpm
TRINITY_DN5656_c0_g1_i1	627	461.14	0	0
TRINITY_DN5656_c0_g2_i1	2072	1906.14	0	0
TRINITY_DN5656_c0_g2_i2	1944	1778.14	0	0
TRINITY_DN5625_c0_g1_i1	1981	1815.14	4	2.27967
TRINITY_DN5625_c0_g2_i1	3104	2938.14	0	0
TRINITY_DN5625_c0_g3_i1	1369	1203.14	0	0
TRINITY_DN5625_c0_g4_i1	1219	1053.14	0	0
TRINITY_DN5625_c0_g4_i2	1171	1005.14	0	0
TRINITY_DN5625_c0_g4_i3	1321	1155.14	0	0
TRINITY_DN5655_c0_g1_i1	429	264.531	0	0
TRINITY_DN5655_c0_g1_i2	1237	1071.14	0	0
TRINITY_DN5655_c0_g1_i3	1115	949.14	0	0
TRINITY_DN5655_c0_g1_i4	1121	955.14	0	0
TRINITY_DN5655_c0_g1_i5	1187	1021.14	0	0
TRINITY_DN5655_c0_g1_i6	1131	965.14	0	0
TRINITY_DN5655_c0_g1_i7	1065	899.14	0	0
TRINITY_DN5655_c0_g1_i8	1181	1015.14	0	0
TRINITY_DN5655_c0_g1_i9	1171	1005.14	0	0
TRINITY_DN5680_c0_g1_i1	256	100.405	0	0
TRINITY_DN5691_c0_g1_i1	281	124.438	0	0
TRINITY_DN5691_c0_g2_i1	289	132.438	0	0
TRINITY_DN5691_c0_g3_i1	207	73.9806	0	0
TRINITY_DN5627_c0_g1_i1	1189	1023.14	0.727851	0.735919
TRINITY_DN5627_c0_g1_i2	1246	1080.14	0	0
TRINITY_DN5627_c0_g1_i3	1452	1286.14	0	0
TRINITY_DN5627_c0_g1_i4	1247	1081.14	0	0
TRINITY_DN5627_c0_g1_i5	1508	1342.14	0	0
TRINITY_DN5627_c0_g1_i6	1403	1237.14	0	0
TRINITY_DN5627_c0_g1_i7	1190	1024.14	0.272149	0.274898
TRINITY_DN5627_c0_g2_i1	242	91.9881	0	0
TRINITY_DN5627_c0_g2_i2	289	132.438	0	0
TRINITY_DN5636_c0_g1_i1	853	687.14	0	0
TRINITY_DN5636_c0_g1_i2	727	561.14	0	0
TRINITY_DN5636_c0_g1_i3	667	501.14	0	0
TRINITY_DN5636_c0_g1_i4	793	627.14	0	0
TRINITY_DN5636_c0_g2_i1	448	283.531	0	0
TRINITY_DN5653_c0_g1_i1	246	95.8283	0	0
TRINITY_DN5653_c0_g2_i1	333	171.415	0	0
TRINITY_DN5653_c0_g3_i1	654	488.14	0	0
TRINITY_DN5653_c1_g1_i1	963	797.14	0	0
TRINITY_DN5653_c1_g1_i2	764	598.14	0	0
TRINITY_DN5653_c1_g1_i3	1013	847.14	0	0
TRINITY_DN5653_c1_g1_i4	820	654.14	0	0
TRINITY_DN5653_c1_g1_i5	714	548.14	0	0
TRINITY_DN5653_c1_g1_i6	770	604.14	0	0
TRINITY_DN5653_c1_g1_i7	957	791.14	0	0
TRINITY_DN5653_c1_g2_i1	1454	1288.14	0	0
TRINITY_DN5653_c1_g2_i2	1398	1232.14	0	0
TRINITY_DN5653_c1_g3_i1	1796	1630.14	0	0
TRINITY_DN5653_c1_g3_i2	1850	1684.14	0	0
TRINITY_DN5633_c0_g1_i1	3048	2882.14	0	0
TRINITY_DN5633_c0_g2_i1	1596	1430.14	0	0
TRINITY_DN5633_c0_g3_i1	3013	2847.14	0	0
TRINITY_DN5633_c0_g3_i2	3064	2898.14	0	0
TRINITY_DN5633_c0_g4_i1	1899	1733.14	0	0
TRINITY_DN5633_c1_g1_i1	230	85.1986	0	0
TRINITY_DN5693_c0_g1_i1	443	278.531	0	0
TRINITY_DN5693_c0_g2_i1	1982	1816.14	0	0
TRINITY_DN5693_c0_g3_i1	2196	2030.14	0	0
TRINITY_DN5693_c0_g3_i2	2227	2061.14	0	0
TRINITY_DN5693_c0_g3_i3	1675	1509.14	1	0.685478
TRINITY_DN5693_c0_g3_i4	2205	2039.14	0	0
TRINITY_DN5693_c0_g3_i5	2147	1981.14	0	0
TRINITY_DN5693_c0_g3_i6	2285	2119.14	0	0
TRINITY_DN5693_c0_g4_i1	515	349.14	0	0
TRINITY_DN5693_c0_g5_i1	1979	1813.14	0	0
TRINITY_DN5603_c0_g1_i1	957	791.14	0	0
TRINITY_DN5603_c0_g1_i2	1035	869.14	0	0
TRINITY_DN5603_c0_g1_i3	850	684.14	0	0
TRINITY_DN5603_c0_g1_i4	1012	846.14	0	0
TRINITY_DN5603_c0_g1_i5	778	612.14	0	0
TRINITY_DN5603_c0_g1_i6	835	669.14	0	0
TRINITY_DN5603_c0_g1_i7	962	796.14	0	0
TRINITY_DN5603_c0_g1_i8	923	757.14	0	0
TRINITY_DN5603_c0_g1_i9	980	814.14	0	0
TRINITY_DN5603_c0_g1_i10	907	741.14	0	0
TRINITY_DN5610_c0_g1_i1	1287	1121.14	0	0
TRINITY_DN5610_c0_g1_i2	830	664.14	0	0
TRINITY_DN5610_c0_g1_i3	1173	1007.14	0	0
TRINITY_DN5610_c0_g1_i4	773	607.14	0	0
TRINITY_DN5610_c0_g1_i5	1230	1064.14	0	0
TRINITY_DN5610_c0_g1_i6	1335	1169.14	0	0
TRINITY_DN5610_c0_g1_i7	1278	1112.14	0	0
TRINITY_DN5610_c0_g2_i1	352	190.415	0	0
TRINITY_DN5676_c0_g1_i1	941	775.14	0	0
TRINITY_DN5676_c0_g1_i2	1056	890.14	0	0
TRINITY_DN5676_c0_g1_i3	994	828.14	0	0
