"Protein_Accession","InterPro_Accession","InterPro_Description","GO_Terms","source_file"
"Sequence1_orf11","IPR002902; IPR038408; IPR050581","Gnk2-homologous domain; Gnk2-homologous domain superfamily; Cysteine-rich repeat secretory protein",NA,"PSME_04115_interpro"
"Sequence1_orf23",NA,NA,NA,"PSME_04115_interpro"
"Sequence1_orf4",NA,NA,NA,"PSME_04115_interpro"
"Sequence1_orf4",NA,NA,NA,"PSME_04789_interpro"
"Sequence1_orf9","IPR027417; IPR000863","P-loop containing nucleoside triphosphate hydrolase; Sulfotransferase domain","GO:0008146(InterPro)","PSME_04789_interpro"
"Sequence1_orf1",NA,NA,NA,"PSME_06003_interpro"
"Sequence1_orf2",NA,NA,NA,"PSME_06003_interpro"
"Sequence1_orf5","IPR006460","Protein MIZU-KUSSEI 1-like, plant","GO:0010274(InterPro)","PSME_06003_interpro"
"Sequence1_orf15","IPR001680; IPR045182; IPR015943; IPR036322; IPR020472","WD40 repeat; Protein JINGUBANG-like; WD40/YVTN repeat-like-containing domain superfamily; WD40-repeat-containing domain superfamily; G-protein beta WD-40 repeat","GO:0005515(InterPro)","PSME_08506_interpro"
"Sequence1_orf21",NA,NA,NA,"PSME_08506_interpro"
"Sequence1_orf37",NA,NA,NA,"PSME_08506_interpro"
"Sequence1_orf11",NA,NA,NA,"PSME_11752_interpro"
"Sequence1_orf12","IPR036259; IPR050549; IPR003663; IPR005829; IPR044775; IPR005828; IPR020846","MFS transporter superfamily; Major Facilitator Superfamily Trehalose Transporter; Sugar/inositol transporter; Sugar transporter, conserved site; Sugar transporter ERD6/Tret1-like; Major facilitator, sugar transporter-like; Major facilitator superfamily domain","GO:0016020(PANTHER)|GO:0022857(PANTHER)|GO:0055085(PANTHER); GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro); GO:0008643(InterPro)|GO:0051119(InterPro); GO:0022857(InterPro)","PSME_11752_interpro"
"Sequence1_orf27",NA,NA,NA,"PSME_11752_interpro"
"Sequence1_orf4",NA,NA,NA,"PSME_11752_interpro"
"Sequence1_orf16",NA,NA,NA,"PSME_12596_interpro"
"Sequence1_orf23","IPR036291; IPR002587; IPR013021","NAD(P)-binding domain superfamily; Myo-inositol-1-phosphate synthase; Myo-inositol-1-phosphate synthase, GAPDH-like","GO:0004512(InterPro)|GO:0006021(InterPro)|GO:0008654(InterPro)","PSME_12596_interpro"
"Sequence1_orf4",NA,NA,NA,"PSME_12596_interpro"
"Sequence1_orf49",NA,NA,NA,"PSME_12596_interpro"
"Sequence1_orf12",NA,NA,NA,"PSME_12910_interpro"
"Sequence1_orf17","IPR006501; IPR011050; IPR018040; IPR035513; IPR000070; IPR012334","Pectinesterase inhibitor domain; Pectin lyase fold/virulence factor; Pectinesterase, Tyr active site; Invertase/pectin methylesterase inhibitor domain superfamily; Pectinesterase, catalytic; Pectin lyase fold","GO:0004857(InterPro); GO:0030599(InterPro)|GO:0042545(InterPro)","PSME_12910_interpro"
"Sequence1_orf31",NA,NA,NA,"PSME_12910_interpro"
"Sequence1_orf11",NA,NA,NA,"PSME_13638_interpro"
"Sequence1_orf4",NA,NA,NA,"PSME_13638_interpro"
"Sequence1_orf5","IPR014764; IPR017853; IPR042460; IPR005176; IPR001554","Defective-in-cullin neddylation protein; Glycoside hydrolase superfamily; DCN1-like, PONY binding domain; Potentiating neddylation domain; Glycoside hydrolase, family 14","GO:0000151(PANTHER)|GO:0031624(PANTHER)|GO:0032182(PANTHER)|GO:0045116(PANTHER)|GO:0097602(PANTHER); GO:0000272(InterPro)|GO:0016161(InterPro)","PSME_13638_interpro"
"Sequence1_orf10",NA,NA,NA,"PSME_16206_interpro"
"Sequence1_orf13","IPR027443; IPR044861; IPR005123; IPR026992; IPR050295","Isopenicillin N synthase-like superfamily; Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain; Oxoglutarate/iron-dependent dioxygenase domain; Non-haem dioxygenase N-terminal domain; Plant 2-oxoglutarate-dependent oxidoreductases",NA,"PSME_16206_interpro"
"Sequence1_orf14",NA,NA,NA,"PSME_16206_interpro"
"Sequence1_orf27",NA,NA,NA,"PSME_16206_interpro"
"Sequence1_orf10",NA,NA,NA,"PSME_19388_interpro"
"Sequence1_orf17","IPR002213; IPR035595","UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glycosyltransferase family, conserved site","GO:0008194(InterPro); GO:0080043(PANTHER)|GO:0080044(PANTHER)","PSME_19388_interpro"
"Sequence1_orf3",NA,NA,NA,"PSME_19388_interpro"
"Sequence1_orf7",NA,NA,NA,"PSME_19388_interpro"
"Sequence1_orf14","IPR036396; IPR017972; IPR001128; IPR002401","Cytochrome P450 superfamily; Cytochrome P450, conserved site; Cytochrome P450; Cytochrome P450, E-class, group I","GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro); GO:0005506(InterPro)|GO:0016705(InterPro)","PSME_21469_interpro"
"Sequence1_orf2",NA,NA,NA,"PSME_21469_interpro"
"Sequence1_orf22",NA,NA,NA,"PSME_21469_interpro"
"Sequence1_orf31",NA,NA,NA,"PSME_21469_interpro"
"Sequence1_orf41",NA,NA,NA,"PSME_21469_interpro"
"Sequence1_orf14",NA,NA,NA,"PSME_23020_interpro"
"Sequence1_orf7",NA,NA,NA,"PSME_23020_interpro"
"Sequence1_orf19","IPR002938; IPR044560; IPR036188","FAD-binding domain; Monooxygenase-like; FAD/NAD(P)-binding domain superfamily","GO:0071949(InterPro)","PSME_27294_interpro"
"Sequence1_orf25",NA,NA,NA,"PSME_27294_interpro"
"Sequence1_orf27",NA,NA,NA,"PSME_27294_interpro"
"Sequence1_orf33",NA,NA,NA,"PSME_27294_interpro"
"Sequence1_orf45",NA,NA,NA,"PSME_27294_interpro"
"Sequence1_orf1",NA,NA,NA,"PSME_27306_interpro"
"Sequence1_orf5","IPR008406","Dormancy/auxin associated protein",NA,"PSME_27306_interpro"
"Sequence1_orf7",NA,NA,NA,"PSME_29048_interpro"
"Sequence1_orf9","IPR008547","Protein of unknown function DUF829, TMEM53",NA,"PSME_29048_interpro"
"Sequence1_orf45","IPR032675; IPR000157; IPR055414; IPR035897; IPR006553","Leucine-rich repeat domain superfamily; Toll/interleukin-1 receptor homology (TIR) domain; Disease resistance R13L4/SHOC-2-like, LRR domain; Toll/interleukin-1 receptor homology (TIR) domain superfamily; Leucine-rich repeat, cysteine-containing subtype","GO:0007165(InterPro)","PSME_30375_interpro"
